Date	Name	Location	Amount
3/21/2021	Dave(AprRent)	Phoenix Arizona	725.00
3/21/2021	Walmart	Phoenix Arizona	1.48
3/21/2021	99CentStore	Phoenix Arizona	6.11
3/26/2021	Frys	Phoenix Arizona	6.09
3/26/2021	Walmart	Phoenix Arizona	134.98
3/26/2021	99CentStore	Phoenix Arizona	3.05
3/26/2021	Frys	Phoenix Arizona	3.09
3/27/2021	Taco Bell	Phoenix Arizona	5.93
3/27/2021	99CentStore	Phoenix Arizona	5.39
3/27/2021	Dollar Tree	Phoenix Arizona	6.49
3/31/2021	Walmart	Phoenix Arizona	36.81
3/31/2021	99CentStore	Phoenix Arizona	2.04
3/31/2021	Frys	Phoenix Arizona	21.31
3/31/2021	GoodWill	Phoenix Arizona	2.98
3/31/2021	Target	Phoenix Arizona	21.61
3/31/2021	Dollar Tree	Phoenix Arizona	4.20
4/3/2021	PandaExpress	Phoenix Arizona	11.03
4/3/2021	Walmart	Phoenix Arizona	22.60
4/3/2021	Sprouts	Phoenix Arizona	20.35
4/3/2021	Arco Gasoline	Phoenix Arizona	46.35
4/9/2021	Walmart	Phoenix Arizona	54.09
4/9/2021	Frys	Phoenix Arizona	9.11
4/10/2021	APS(Power)	Phoenix Arizona	35.10
4/11/2021	FatCats	Phoenix Arizona	28.05
4/11/2021	Walmart	Phoenix Arizona	1.48
4/11/2021	FatCats	Phoenix Arizona	4.85
4/12/2021	CenturyLink	Phoenix Arizona	65.22
4/13/2021	PandaExpress	Phoenix Arizona	11.24
4/13/2021	Walmart	Phoenix Arizona	18.55
4/16/2021	Walmart	Phoenix Arizona	1.18
4/16/2021	99CentStore	Phoenix Arizona	1.02
4/16/2021	Dollar Tree	Phoenix Arizona	6.17
4/16/2021	Dave(MayRent)	Phoenix Arizona	725.00
4/17/2021	JackInTheBox	Phoenix Arizona	7.36
4/18/2021	Osaka	Phoenix Arizona	65.00
4/18/2021	Chevron	Phoenix Arizona	36.10
4/19/2021	SWGas	Phoenix Arizona	26.81
4/24/2021	99CentStore	Phoenix Arizona	11.69
4/24/2021	Walmart	Phoenix Arizona	18.44
4/25/2021	RainbowDonuts	Phoenix Arizona	11.31
4/30/2021	Walmart	Phoenix Arizona	98.02
5/1/2021	Imagine3D	Phoenix Arizona	35.49
5/1/2021	PandaExpress	Phoenix Arizona	7.24
5/2/2021	Dollar Tree	Phoenix Arizona	5.09
5/7/2021	Walmart	Phoenix Arizona	38.20
5/7/2021	Frys	Phoenix Arizona	10.74
5/7/2021	99CentStore	Phoenix Arizona	5.08
5/7/2021	Reynolds	Phoenix Arizona	34.83
5/7/2021	Walmart	Phoenix Arizona	1.58
5/8/2021	APS(Power)	Phoenix Arizona	33.86
5/12/2021	CenturyLink	Phoenix Arizona	65.22
5/14/2021	Chevron	Phoenix Arizona	62.00
5/14/2021	Walmart	Phoenix Arizona	14.58
5/14/2021	99CentStore	Phoenix Arizona	3.05
5/14/2021	Dollar Tree	Phoenix Arizona	4.13
5/14/2021	Safeway	Phoenix Arizona	5.08
5/14/2021	PandaExpress	Phoenix Arizona	8.86
5/15/2021	AutoZone	Phoenix Arizona	5.40
5/16/2021	Dave(JunRent)	Phoenix Arizona	725.00
5/21/2021	Dollar Tree	Phoenix Arizona	4.07
5/21/2021	Frys	Phoenix Arizona	4.90
5/21/2021	Walmart	Phoenix Arizona	47.77
5/21/2021	99CentStore	Phoenix Arizona	9.87
5/21/2021	99CentStore	Phoenix Arizona	3.05
5/23/2021	SWGas	Phoenix Arizona	23.68
5/26/2021	T-Mobile	Phoenix Arizona	20.00
5/29/2021	Dollar Tree	Phoenix Arizona	6.23
5/29/2021	Walmart	Phoenix Arizona	46.64
5/29/2021	InNOut	Phoenix Arizona	19.08
5/30/2021	Little Caesars	Phoenix Arizona	11.48
5/30/2021	Dunkin Donuts	Phoenix Arizona	5.15
5/31/2021	GoodWill	Phoenix Arizona	2.49
5/31/2021	Walmart	Phoenix Arizona	11.19
5/31/2021	Staples	Phoenix Arizona	154.55
5/31/2021	ModeWorl	Phoenix Arizona	42.14
6/5/2021	Staples	Phoenix Arizona	14.04
6/5/2021	Dollar Tree	Phoenix Arizona	5.15
6/5/2021	Frys	Phoenix Arizona	9.36
6/5/2021	Walmart	Phoenix Arizona	25.64
6/8/2021	Walmart	Phoenix Arizona	6.83
6/8/2021	99CentStore	Phoenix Arizona	3.77
6/11/2021	99CentStore	Phoenix Arizona	6.22
6/11/2021	Walmart	Phoenix Arizona	36.56
6/11/2021	Arco Gasoline	Phoenix Arizona	47.00
6/11/2021	GoodWill	Phoenix Arizona	3.49
6/12/2021	Walmart	Phoenix Arizona	5.15
6/12/2021	CenturyLink	Phoenix Arizona	65.22
6/13/2021	APS(Power)	Phoenix Arizona	45.71
6/13/2021	Staples	Phoenix Arizona	1.78
6/14/2021	PandaExpress	Phoenix Arizona	8.51
6/14/2021	SWGas	Phoenix Arizona	20.86
6/16/2021	Walmart	Phoenix Arizona	32.00
6/16/2021	CenturyLink	Phoenix Arizona	216.20
6/16/2021	Dave(JulRent)	Phoenix Arizona	725.00
6/18/2021	Walmart	Phoenix Arizona	22.30
6/18/2021	Frys	Phoenix Arizona	7.67
6/18/2021	Dollar Tree	Phoenix Arizona	8.33
6/19/2021	GolfLand	Phoenix Arizona	15.49
6/19/2021	GolfLand	Phoenix Arizona	8.93
6/20/2021	JimmyJohns	Phoenix Arizona	22.00
6/21/2021	USPS	Phoenix Arizona	12.80
6/25/2021	99CentStore	Phoenix Arizona	4.07
6/25/2021	Walmart	Phoenix Arizona	49.97
6/26/2021	Walmart	Phoenix Arizona	26.94
6/26/2021	T-Mobile	Phoenix Arizona	20.00
6/29/2021	Staples	Phoenix Arizona	30.25
6/30/2021	Dunkin Donuts	Phoenix Arizona	3.22
7/2/2021	99CentStore	Phoenix Arizona	5.09
7/2/2021	Frys	Phoenix Arizona	10.36
7/2/2021	Walmart	Phoenix Arizona	51.26
7/3/2021	Dunkin Donuts	Phoenix Arizona	5.80
